id_sentimen,id_tokoh,id_wilayah,platform,raw_text,sentiment_label,keyword_category,url_postingan,created_at,tanggal_mentah,tipe_kemarahan,target_serangan,wilayah
2775,2,,TikTok,kenapa juga naik opsen segala...,Negatif,,,2026-02-25 19:46:39.483484+00:00,23 j yang lalu,Beban Ekonomi,Institusi (Bapenda/Samsat),Solo Raya (AD)
3839,3,,Instagram,"Sekiranya kurang dana potonglah gaji, tunjangan pejabat ,pikiran jadi pejabat buat memperkaya sendiri gini jadi nya .SESUAI APLIKASI YAH MUNDAK SAPKPOLE",Negatif,,,2026-02-25 19:46:39.483484+00:00,"Sekiranya kurang dana potonglah gaji, tunjangan pejabat ,pikiran jadi pejabat buat memperkaya sendiri gini jadi nya .SESUAI APLIKASI YAH MUNDAK SAPKPOLE",Beban Ekonomi,Gubernur,Lainnya/Jateng
1065,1,,TikTok,ojoah. aku kan siap mengayomi dan melayani. sesuai aku kampanye😂😂😂😂😂😂😂😂,Negatif,,,2026-02-25 19:46:39.483484+00:00,1 m yang lalu,Kekecewaan Politik,Gubernur,Lainnya/Jateng
2948,3,,Instagram,Jangan bilang tidak ada kenaikan. FAKTANYA ada kenaikan di PKB dan Opsennya. Jangan ngarang deh kalau klarifikasi,Negatif,,,2026-02-25 19:46:39.483484+00:00,Jangan bilang tidak ada kenaikan. FAKTANYA ada kenaikan di PKB dan Opsennya. Jangan ngarang deh kalau klarifikasi,Beban Ekonomi,Institusi (Bapenda/Samsat),Lainnya/Jateng
3508,3,,Instagram,Intinya ada opsen bikin tambah mahal 😂,Negatif,,,2026-02-25 19:46:39.483484+00:00,Intinya ada opsen bikin tambah mahal 😂,Beban Ekonomi,Institusi (Bapenda/Samsat),Lainnya/Jateng
3539,3,,Instagram,Jangan bilang tidak ada kenaikan. FAKTANYA ada kenaikan di PKB dan Opsennya. Jangan ngarang deh kalau klarifikasi,Negatif,,,2026-02-25 19:46:39.483484+00:00,Jangan bilang tidak ada kenaikan. FAKTANYA ada kenaikan di PKB dan Opsennya. Jangan ngarang deh kalau klarifikasi,Beban Ekonomi,Institusi (Bapenda/Samsat),Lainnya/Jateng
3858,3,,Instagram,"IKI JANE AKU SENG EDAN OPO POSTINGANE SENG RAK WARAS, RAK ONO KENAIKAN TAPI ONO OPSEN, MATANE DI CELEKKE, YEN ONO OPSEN MBAYARE DADI MUNDAK OPO MALAH KURANG. GATHELLLL GATHELLL",Negatif,,,2026-02-25 19:46:39.483484+00:00,"IKI JANE AKU SENG EDAN OPO POSTINGANE SENG RAK WARAS, RAK ONO KENAIKAN TAPI ONO OPSEN, MATANE DI CELEKKE, YEN ONO OPSEN MBAYARE DADI MUNDAK OPO MALAH KURANG. GATHELLLL GATHELLL",Beban Ekonomi,Institusi (Bapenda/Samsat),Lainnya/Jateng
3892,3,,Instagram,Ora naik tpi pkb opsen kui hapusen blokgoblok,Negatif,,,2026-02-25 19:46:39.483484+00:00,Ora naik tpi pkb opsen kui hapusen blokgoblok,Beban Ekonomi,Institusi (Bapenda/Samsat),Lainnya/Jateng
778,1,,TikTok,makanya hilangin tembak ktp opsen di kurangin,Negatif,,,2026-02-25 19:46:39.483484+00:00,6 h yang lalu,Beban Ekonomi,Institusi (Bapenda/Samsat),Lainnya/Jateng
1662,1,,TikTok,"untuk mengurangi piutang pajak dan menaikan pendapatan pajak, itu bukan dengan menaikan pajak tersebut pak.
justru jika anda menaikan pajak bakal semakin kecil pendapatan pajak di daerah anda. karena masyarakat akan cenderung malas untuk membayar ketika pajak tsb naik. dg kondisi masyarakat sedang kesulitan ekonomi di wilayah anda.
saya tanya, kenapa ada amnesti pajak?? apa tujuan program tersebut??
kok bisa keinginan agar pendapatan daerah meningkat dgbcara menaikan si pie to pak pak",Negatif,,,2026-02-25 19:46:39.483484+00:00,2-12,Beban Ekonomi,Institusi (Bapenda/Samsat),Solo Raya (AD)
1774,1,,TikTok,"Rakyat koq dijadikan objek terus... Anggaran kurang Rakyat yg harus menanggung dgn menaikan pajak, mbok sekali2 cari solusi lain biar tidak membebani rakyat terus.
Tugas pemimpin itu mencari solusi utk mensejahterakan rakyat bukan malah sebaliknya.... 😃😃😃😃",Negatif,,,2026-02-25 19:46:39.483484+00:00,2-12,Beban Ekonomi,Institusi (Bapenda/Samsat),Solo Raya (AD)
264,1,,TikTok,percuma undang-undang digunakan tapi pembangunan infrastruktur itu nggak ada sama sekali percuma Pak,Negatif,,,2026-02-25 19:46:39.483484+00:00,4 h yang lalu,Lainnya,Pemerintahan,Lainnya/Jateng
479,1,,TikTok,aturanmu dewe cuk,Negatif,,,2026-02-25 19:46:39.483484+00:00,5 h yang lalu,Lainnya,Pemerintahan,Lainnya/Jateng
849,1,,TikTok,kakean aturan tambah semrawut,Negatif,,,2026-02-25 19:46:39.483484+00:00,2-13,Lainnya,Pemerintahan,Lainnya/Jateng
1461,1,,TikTok,dasar nya setoran ke pejabat kurang gede?,Negatif,,,2026-02-25 19:46:39.483484+00:00,2-12,Lainnya,Pemerintahan,Lainnya/Jateng
3357,3,,Instagram,"Situasi: Penerapan opsen menyebabkan kenaikan total tarif PKB yang signifikan, dikeluhkan warga karena terjadi kenaikan sekitar 16% dibanding tahun sebelumnya.Struktur Baru: Total tarif PKB menjadi 1,05% (pokok) + 0,693% (opsen) = 1,743%.Jawa barat, jawa timur dan DIY stabil tidak ada kenaikan. Ini saya cek di google, betulkah pak?",Negatif,,,2026-02-25 19:46:39.483484+00:00,"Situasi: Penerapan opsen menyebabkan kenaikan total tarif PKB yang signifikan, dikeluhkan warga karena terjadi kenaikan sekitar 16% dibanding tahun sebelumnya.Struktur Baru: Total tarif PKB menjadi 1,05% (pokok) + 0,693% (opsen) = 1,743%.Jawa barat, jawa timur dan DIY stabil tidak ada kenaikan. Ini saya cek di google, betulkah pak?",Beban Ekonomi,Institusi (Bapenda/Samsat),Pekalongan/Pantura (G)
3612,3,,Instagram,PKB emang gak naik.. tp tambahan opsen nya itu lohhh pak.. perlu dikaji ulang deh,Negatif,,,2026-02-25 19:46:39.483484+00:00,PKB emang gak naik.. tp tambahan opsen nya itu lohhh pak.. perlu dikaji ulang deh,Beban Ekonomi,Institusi (Bapenda/Samsat),Pekalongan/Pantura (G)
548,1,,TikTok,"aturan kan bisa dirubah, buatan manusia, wong yg bikin yg punya hidup aja kalian langgar",Negatif,,,2026-02-25 19:46:39.483484+00:00,2-12,Lainnya,Pemerintahan,Pekalongan/Pantura (G)
754,1,,TikTok,aku ORA milih Melu keno dampake motorku ORA tak pajeki. sok nek wis duit lebih lagi. di pajaki golek duit lagi susah,Negatif,,,2026-02-25 19:46:39.483484+00:00,2-12,Beban Ekonomi,Institusi (Bapenda/Samsat),Lainnya/Jateng
1902,1,,TikTok,Mundur saja Pak..bikin rakyat susah..tambah beban pajak.. Ngerti ngono nggak Mau milih ..,Negatif,,,2026-02-25 19:46:39.483484+00:00,2-12,Beban Ekonomi,Institusi (Bapenda/Samsat),Lainnya/Jateng
2925,2,,TikTok,"gus taj yasin dulu wakilnya pak Ganjar mundur, eee sekarang wakilnya pak Lutfi dengan gonjang ganjingnya Jawa tengah enjoy enjoy ajaa,,,",Negatif,,,2026-02-25 19:46:39.483484+00:00,19 j yang lalu,Kekecewaan Politik,Wakil Gubernur,Lainnya/Jateng
1334,1,,TikTok,siapa pilih orang ini,Negatif,,,2026-02-25 19:46:39.483484+00:00,2-12,Kekecewaan Politik,Gubernur,Lainnya/Jateng
1848,1,,TikTok,psti pda nyesel salah pilih gubernur,Negatif,,,2026-02-25 19:46:39.483484+00:00,2-12,Kekecewaan Politik,Gubernur,Lainnya/Jateng
1559,1,,TikTok,😁😅 ngayomi dan ngopeni hanyalah janji tok kenyataan masyarakat di peras kaya sapi perah,Negatif,,,2026-02-25 19:46:39.483484+00:00,2-12,Kekecewaan Politik,Gubernur,Lainnya/Jateng
